text,is_retweet,From Iphone,From Media Studio,Crude Oil 5 Minutes,Crude Oil 30 Minutes,Crude Oil 12 Hours,Gold 5 Minutes,Gold 30 Minutes,Gold 12 Hours,USD Index 5 Minutes,USD Index 30 Minutes,USD Index 12 Hours
Intelligence Agencies were used against an American President.  @DevinNunes  @ShannonBream @FoxNews  This should NEVER happen to a President again! Dems are furious at Robert Mueller for his findings - NO COLLUSION NO OBSTRUCTION. Now they should go back to work and legislate!,0,1,0,1,1,1,1,-1,1,-1,-1,-1
If they try to Impeach President Trump who has done nothing wrong (No Collusion) they will end up getting him re-elected  @LindseyGrahamSC Impeachment is for High Crimes and Misdemeanors. There were no High Crimes and Misdemeanors except for those committed by the other side!,0,1,0,1,1,1,0,0,1,-1,-1,-1
I don t know why the Radical Left Democrats want Bob Mueller to testify when he just issued a 40 Million Dollar Report that states loud clear for all to hear No Collusion and No Obstruction (how do you Obstruct a NO crime?) Dems are just looking for trouble and a Do-Over!,0,1,0,1,1,1,1,1,1,-1,-1,-1
Congratulations to the Great (and my friend) Roger Penske on winning his 18th (UNBELIEVABLE!) Indianapolis 500. I am in Japan very early in the morning but I got to watch Simon drive one of the greatest races in the history of the sport. I will see them both TEAM at the WH!,0,1,0,-1,-1,-1,1,1,1,-1,-1,1
@POTUS @AbeShinzo at the Imperial Palace for the Welcome Ceremony. #POTUSinJapan,1,1,0,1,-1,1,0,-1,-1,-1,1,1
Great evening last night thank you!,0,1,0,1,-1,1,1,-1,-1,1,1,1
@POTUS @FLOTUS were received by Their Majesties the Emperor and Empress of Japan.,1,1,0,1,-1,1,1,-1,-1,1,1,1
President @realDonaldTrump and Prime Minister @AbeShinzo met for bilateral meetings and a working lunch at Akasaka Palace.,1,1,0,-1,-1,1,0,-1,-1,-1,-1,1
.@ianbremmer now admits that he MADE UP  a completely ludicrous quote  attributing it to me. This is what s going on in the age of Fake News. People think they can say anything and get away with it. Really the libel laws should be changed to hold Fake News Media accountable!,0,1,0,-1,-1,1,1,1,-1,-1,1,1
Impeach for what having created perhaps the greatest Economy in our Country s history rebuilding our Military taking care of our Vets (Choice) Judges Best Jobs Numbers Ever and much more? Dems are Obstructionists!,0,1,0,1,1,1,1,1,-1,-1,1,1
The Dems are getting NOTHING done in Congress! They only want a Do-Over on Mueller!,0,1,0,1,1,1,1,1,-1,-1,1,1
#MemorialDay,0,1,0,1,1,1,-1,-1,-1,-1,1,1
Anyone associated with the 1994 Crime Bill will not have a chance of being elected. In particular African Americans will not be ble to vote for you. I on the other hand was responsible for Criminal Justice Reform which had tremendous support and helped fix the bad 1994 Bill!,0,1,0,-1,-1,1,1,-1,-1,1,1,-1
....Super Predator was the term associated with the 1994 Crime Bill that Sleepy Joe Biden was so heavily involved in passing. That was a dark period in American History but has Sleepy Joe apologized? No!,0,1,0,1,1,1,-1,-1,-1,-1,1,-1
Anyone associated with the 1994 Crime Bill will not have a chance of being elected. In particular African Americans will not be able to vote for you. I on the other hand was responsible for Criminal Justice Reform which had tremendous support helped fix the bad 1994 Bill!,0,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1
I will be making two stops this morning in Japan to visit with our Great Military then a quick stop in Alaska and back to D.C. Meetings with Prime Minister Abe went very well and getting to spend time with the new Emperor and Empress of Japan was a great honor!,0,1,0,1,-1,-1,0,1,-1,-1,-1,1
I've written a book on the Kavanaugh confirmation with the inimitable @JCNSeverino. A behind-the-scenes loo,1,1,0,-1,-1,-1,1,-1,-1,-1,1,1
Can t wait to see you all soon!,0,1,0,1,1,-1,-1,-1,-1,-1,-1,1
LIVE remarks from @POTUS Donald J. Trump aboard #USSWasp in #Japan!,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1
Spoke with @GovStitt of Oklahoma last night from Japan because of the devastating tornadoes. Told him that @FEMA and the federal government are fully behind him and the great people of Oklahoma.,0,1,0,1,1,-1,-1,-1,-1,1,1,1
SNS,1,1,0,-1,1,-1,-1,-1,1,-1,1,1
GOD BLESS THE USA,0,1,0,-1,1,-1,1,1,1,1,1,-1
Just spoke to Governor @AsaHutchinson of the Great State of Arkansas to inform him that FEMA and the Federal Government will do whatever is necessary to help out with what has turned out to be Record Flooding. Asa and local officials are doing a great job!,0,1,0,1,-1,-1,1,1,1,-1,-1,1
I was actually sticking up for Sleepy Joe Biden while on foreign soil. Kim Jong Un called him a  low IQ idiot  and many other things whereas I related the quote of Chairman Kim as a much softer  low IQ individual.  Who could possibly be upset with that?,0,1,0,1,-1,-1,-1,1,1,1,1,1
Back from Japan after a very successful trip. Big progress on MANY fronts. A great country with a wonderful leader in Prime Minister Abe!,0,1,0,1,-1,-1,1,1,1,1,-1,1
THANK YOU JAPAN!,0,1,0,0,1,-1,0,1,1,-1,-1,1
GOD BLESS THE USA,1,1,0,0,1,1,-1,1,-1,-1,1,1
Republicans cannot allow themselves to again lose the Senate seat in the Great State of Alabama. This time it will be for Six Years not just Two. I have NOTHING against Roy Moore and unlike many other Republican leaders wanted him to win. But he didn t and probably won t.....,0,1,0,-1,1,1,1,1,-1,1,-1,-1
...If Alabama does not elect a Republican to the Senate in 2020 many of the incredible gains that we have made during my Presidency may be lost including our Pro-Life victories. Roy Moore cannot win and the consequences will be devastating....Judges and Supreme Court Justices!,0,1,0,-1,1,1,1,1,-1,1,-1,-1
Nothing changes from the Mueller Report. There was insufficient evidence and therefore in our Country a person is innocent. The case is closed! Thank you.,0,1,0,1,1,1,-1,-1,-1,1,-1,-1
I was not informed about anything having to do with the Navy Ship USS John S. McCain during my recent visit to Japan. Nevertheless @FLOTUS and I loved being with our great Military Men and Women - what a spectacular job they do!,0,1,0,-1,-1,-1,-1,-1,1,1,1,1
The Greatest Presidential Harassment in history. After spending $40000000 over two dark years with unlimited access people resources and cooperation highly conflicted Robert Mueller would have brought charges if he had ANYTHING but there were no charges to bring!,0,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1
Russia Russia Russia! That s all you heard at the beginning of this Witch Hunt Hoax...And now Russia has disappeared because I had nothing to do with Russia helping me to get elected. It was a crime that didn t exist. So now the Dems and their partner the Fake News Media.....,0,1,0,-1,-1,-1,-1,-1,1,-1,1,-1
....say he fought back against this phony crime that didn t exist this horrendous false acquisition and he shouldn t fight back he should just sit back and take it. Could this be Obstruction? No Mueller didn t find Obstruction either. Presidential Harassment!,0,1,0,-1,-1,-1,-1,-1,1,-1,1,-1
Russia Russia Russia! That s all you heard at the beginning of this Witch Hunt Hoax...And now Russia has disappeared because I had nothing to do with Russia helping me to get elected. It was a crime that didn t exist. So now the Dems and their partner the Fake News Media.....,0,1,0,-1,-1,-1,-1,-1,1,1,1,1
....say he fought back against this phony crime that didn t exist this horrendous false accusation and he shouldn t fight back he should just sit back and take it. Could this be Obstruction? No Mueller didn t find Obstruction either. Presidential Harassment!,0,1,0,-1,-1,-1,-1,-1,1,1,1,1
Congressman John Ratcliffe  The Trump Campaign clearly did not conspire or collude.  @FoxNews,0,1,0,-1,-1,-1,0,-1,1,-1,1,-1
Comey and Brennan are turning on each other.   @kilmeade,0,1,0,-1,1,-1,1,1,1,-1,-1,-1
Robert Mueller came to the Oval Office (along with other potential candidates) seeking to be named the Director of the FBI. He had already been in that position for 12 years I told him NO. The next day he was named Special Counsel - A total Conflict of Interest. NICE!,0,1,0,1,0,-1,0,1,1,-1,1,-1
Very sad to hear the news on the passing of my friend Senator Thad Cochran. He was a real Senator with incredible values - even flew back to Senate from Mississippi for important Healthcare Vote when he was desperately ill. Thad never let our Country (or me) down!,0,1,0,-1,-1,-1,0,-1,1,1,1,-1
Just arrived in Colorado. Getting ready to deliver the commencement speech at the Air Force Academy graduation. Very exciting - probably will be broadcast live on TV. They want good ratings!,0,1,0,-1,-1,-1,0,-1,1,1,1,-1
Thank you to all of the brave men and women graduating from the United States Air Force Academy today!  You could have ch,1,1,0,1,1,-1,0,-1,1,1,1,-1
You are ready to fly fight and win!    President Donald J. Trump,1,1,0,1,1,-1,0,-1,1,1,1,-1
Yesterday Border Patrol agents apprehended the largest group of illegal aliens ever: 1036 people who illegally crossed the border in El Paso around 4am. Democrats need to stand by our incredible Border Patrol and finally fix the loopholes at our Border!,0,1,0,0,1,-1,-1,-1,1,1,1,-1
The Navy put out a disclaimer on the McCain story. Looks like the story was an exaggeration or even Fake News - but why not everything else is!,0,1,0,1,1,-1,0,-1,1,-1,-1,-1
On June 10th the United States will impose a 5% Tariff on all goods coming into our Country from Mexico until such time as illegal migrants coming through Mexico and into our Country STOP. The Tariff will gradually increase until the Illegal Immigration problem is remedied..,0,1,0,1,-1,-1,1,1,1,0,1,-1
....at which time the Tariffs will be removed. Details from the White House to follow.,0,1,0,1,-1,-1,1,1,1,0,1,-1
I will be watching @AlanDersh on @IngrahamAngle at 10:00 P.M. He speaks the truth!,0,1,0,-1,1,-1,1,-1,1,1,1,-1
@AlanDersh,1,1,0,-1,1,-1,1,-1,1,1,1,-1
How do you impeach a Republican President for a crime that was committed by the Democrats? WITCH-HUNT!,1,1,0,-1,-1,-1,1,1,1,-1,-1,-1
Sean Davis The Federalist:  Mueller proved his entire operation was a political hit job. Still ZERO evidence of Trump-Russia Collusion and no new evidence from Mueller.   @TuckerCarlson @FoxNews,0,1,0,1,-1,-1,1,1,1,1,1,-1
Congratulations to the @AF_Academy Class of 2019!,0,1,0,-1,-1,-1,1,1,1,-1,-1,-1
Hard to believe that with the Crisis on the Border the Dems won t do the quick and easy fix. Would solve the problem but they want Open Borders which equals crime!,0,1,0,-1,-1,-1,1,1,1,-1,-1,-1
Mexico has taken advantage of the United States for decades. Because of the Dems our Immigration Laws are BAD. Mexico makes a FORTUNE from the U.S. have for decades they can easily fix this problem. Time for them to finally do what must be done!,0,1,0,1,-1,-1,1,-1,-1,-1,-1,-1
In order not to pay Tariffs if they start rising companies will leave Mexico which has taken 30% of our Auto Industry and come back home to the USA. Mexico must take back their country from the drug lords and cartels. The Tariff is about stopping drugs as well as illegals!,0,1,0,-1,-1,-1,-1,1,1,1,-1,-1
90% of the Drugs coming into the United States come through Mexico our Southern Border. 80000 people died last year 1000000 people ruined. This has gone on for many years nothing has been done about it. We have a 100 Billion Dollar Trade Deficit with Mexico. It s time!,0,1,0,-1,-1,-1,1,1,1,1,-1,-1
Democrats can t impeach a Republican President for crimes committed by Democrats. The facts are  pouring  in. The Greatest Witch Hunt in American History! Congress go back to work and help us at the Border with Drug Prices and on Infrastructure.,0,1,0,-1,-1,1,1,-1,1,-1,0,-1
Hearing word that Russia Syria and to a lesser extent Iran are bombing the hell out of Idlib Province in Syria and indiscriminately killing many innocent civilians. The World is watching this butchery. What is the purpose what will it get you? STOP!,0,1,0,0,-1,1,-1,0,1,-1,1,-1
Kevin Hassett who has done such a great job for me and the Administration will be leaving shortly. His very talented replacement will be named as soon as I get back to the U.S. I want to thank Kevin for all he has done - he is a true friend!,0,1,0,1,0,1,-1,1,1,1,1,-1
BIG NEWS! As I promised two weeks ago the first shipment of LNG has just left the Cameron LNG Export Facility in Louisiana. Not only have thousands of JOBS been created in USA we re shipping freedom and opportunity abroad!,0,1,0,1,-1,1,-1,1,1,1,1,-1
Thank you for your leadership on this @realDonaldTrump! It was great to visit the Cameron LNG export facility with you l,1,1,0,-1,1,-1,1,1,1,-1,1,-1
.@SadiqKhan who by all accounts has done a terrible job as Mayor of London has been foolishly  nasty  to the visiting President of the United States by far the most important ally of the United Kingdom. He is a stone cold loser who should focus on crime in London not me......,0,1,0,1,1,-1,1,1,1,1,-1,-1
....Kahn reminds me very much of our very dumb and incompetent Mayor of NYC de Blasio who has also done a terrible job - only half his height. In any event I look forward to being a great friend to the United Kingdom and am looking very much forward to my visit. Landing now!,0,1,0,1,1,-1,1,1,1,1,-1,-1
Thank you!,0,1,0,-1,-1,-1,1,-1,1,-1,1,-1
China is subsidizing its product in order that it can continue to be sold in the USA. Many firms are leaving China for other countries including the United States in order to avoid paying the Tariffs. No visible increase in costs or inflation but U.S. is taking Billions!,0,1,0,1,1,-1,1,1,1,-1,-1,-1
Just arrived in the United Kingdom. The only problem is that @CNN is the primary source of news available from the U.S. After watching it for a short while I turned it off. All negative so much Fake News very bad for U.S. Big ratings drop. Why doesn t owner @ATT do something?,0,1,0,-1,-1,-1,1,1,1,1,1,-1
I believe that if people stoped using or subscribing to @ATT they would be forced to make big changes at @CNN which is dying in the ratings anyway. It is so unfair with such bad Fake News! Why wouldn t they act. When the World watches @CNN it gets a false picture of USA. Sad!,0,1,0,-1,-1,-1,-1,1,1,-1,1,-1
The President and Mrs Trump stand with The Queen The Prince of Wales and The Duchess of Cornwall as the US and UK nationa,1,1,0,1,1,1,1,1,1,1,-1,-1
The President and The Prince of Wales inspect a Guard of Honour formed by Nijmegen Company Grenadier Guards. #USStateVisi,1,1,0,1,1,1,1,1,1,1,-1,-1
The Queen President Trump and the First Lady view a display of items from the Royal Collection illustrating the enduring,1,1,0,1,1,1,1,1,1,1,-1,-1
The Prince of Wales The Duchess of Cornwall @ClarenceHouse The Duke and Duchess of Cambridge @KensingtonRoyal The Duke o,1,1,0,1,1,-1,1,1,1,-1,-1,1
President @realDonaldTrump and @FLOTUS are guests of Her Majesty Queen Elizabeth II for a State Banquet at Buckingham Palac,1,1,0,1,1,-1,1,1,1,-1,-1,1
"""This evening we thank God for the brave sons of the United Kingdom and the United States who defeated the Nazis and the",1,1,0,1,1,-1,1,1,1,-1,-1,1
"""On behalf of all Americans I offer a toast to the eternal friendship of our people the vitality of our nations and to t",1,1,0,1,1,-1,1,1,1,-1,-1,1
House just passed the 19.1 Billion Dollar Disaster Aid Bill. Great now we will get it done in the Senate! Farmers Puerto Rico and all will be very happy.,0,1,0,1,-1,1,-1,1,-1,-1,-1,1
#USStateVisit,0,1,0,1,-1,0,1,1,1,-1,-1,-1
On Day 2 of the #USStateVisit The Duke of York Prime Minister @TheresaMay welcome President Donald Trump @POTUS t,1,1,0,-1,-1,-1,1,1,1,-1,-1,-1
Thank you @Theresa_May!,0,1,0,-1,1,-1,-1,-1,1,1,1,-1
Tonight The Prince of Wales and The Duchess of Cornwall attended a dinner in London hosted by @POTUS and @FLOTUS on the s,1,1,0,0,-1,-1,-1,-1,1,1,1,-1
President @realdonaldtrump and @FLOTUS welcome The Prince of Wales and The Duchess of Cornwall as they arrive at Winfield Hous,1,1,0,-1,-1,-1,-1,-1,1,1,1,-1
